sim_hour,event_type,description
1,FAILURE,"L2-A FAILED (load 79.0/200 MW, 39.5%)"
1,FAILURE,"L5-D FAILED (load 71.7/160 MW, 44.8%)"
3,FAILURE,"L1-A FAILED (load 139.7/250 MW, 55.9%)"
3.4,RESTORE,L2-A restored after 2.40 h (crew time 2.40 h)
6.08,RESTORE,L5-D restored after 5.08 h (crew time 2.68 h)
7,FAILURE,"L4-C FAILED (load 160.6/220 MW, 73.0%)"
9.74,RESTORE,L1-A restored after 6.74 h (crew time 3.66 h)
13.61,RESTORE,L4-C restored after 6.61 h (crew time 3.87 h)
15,FAILURE,"L3-B FAILED (load 102.1/180 MW, 56.7%)"
18.58,RESTORE,L3-B restored after 3.58 h (crew time 3.58 h)
20,FAILURE,"L5-D FAILED (load 109.3/160 MW, 68.3%)"
22.65,RESTORE,L5-D restored after 2.65 h (crew time 2.65 h)
46,FAILURE,"L1-A FAILED (load 129.6/250 MW, 51.9%)"
47,FAILURE,"L2-A FAILED (load 141.6/200 MW, 70.8%)"
49.1,RESTORE,L1-A restored after 3.10 h (crew time 3.10 h)
52,FAILURE,"L5-D FAILED (load 72.3/160 MW, 45.2%)"
52.82,RESTORE,L2-A restored after 5.82 h (crew time 3.72 h)
55,FAILURE,"L4-C FAILED (load 107.1/220 MW, 48.7%)"
56.3,RESTORE,L5-D restored after 4.30 h (crew time 3.47 h)
59.58,RESTORE,L4-C restored after 4.58 h (crew time 3.28 h)
63,FAILURE,"L5-D FAILED (load 93.8/160 MW, 58.6%)"
65.57,RESTORE,L5-D restored after 2.57 h (crew time 2.57 h)
68,FAILURE,"L4-C FAILED (load 161.4/220 MW, 73.4%)"
71.54,RESTORE,L4-C restored after 3.54 h (crew time 3.54 h)
