hour,demand_MW,coal1_MW,coal2_MW,solar_MW,avg_load_pct,lines_in_service,L1-A_load_pct,L2-A_load_pct,L3-B_load_pct,L4-C_load_pct,L5-D_load_pct
0,359.13,300,200,0.0,39.51,5,39.51,39.51,39.51,39.51,39.51
1,363.15,300,200,0.0,39.51,5,39.51,39.51,39.51,39.51,39.51
2,399.74,300,200,0.0,55.87,3,55.87,0.0,55.87,55.87,0.0
3,410.11,300,200,0.0,55.87,3,55.87,0.0,55.87,55.87,0.0
4,367.61,300,200,0.0,68.35,3,0.0,68.35,68.35,68.35,0.0
5,363.79,300,200,0.0,68.35,3,0.0,68.35,68.35,68.35,0.0
6,554.85,300,200,0.0,68.35,3,0.0,68.35,68.35,68.35,0.0
7,576.01,300,200,27.65,73.01,4,0.0,73.01,73.01,73.01,73.01
8,687.69,300,200,44.27,106.67,3,0.0,106.67,106.67,0.0,106.67
9,706.21,300,200,78.19,106.67,3,0.0,106.67,106.67,0.0,106.67
10,592.09,300,200,98.7,89.39,4,89.39,89.39,89.39,0.0,89.39
11,594.1,300,200,134.51,89.39,4,89.39,89.39,89.39,0.0,89.39
12,554.59,300,200,95.5,89.39,4,89.39,89.39,89.39,0.0,89.39
13,572.95,300,200,141.65,89.39,4,89.39,89.39,89.39,0.0,89.39
14,568.53,300,200,97.86,56.73,5,56.73,56.73,56.73,56.73,56.73
15,617.34,300,200,87.67,56.73,5,56.73,56.73,56.73,56.73,56.73
16,556.63,300,200,86.78,74.38,4,74.38,74.38,0.0,74.38,74.38
17,683.25,300,200,87.66,74.38,4,74.38,74.38,0.0,74.38,74.38
18,689.75,300,200,54.57,74.38,4,74.38,74.38,0.0,74.38,74.38
19,715.04,300,200,22.31,68.29,5,68.29,68.29,68.29,68.29,68.29
20,529.93,300,200,0.0,68.29,5,68.29,68.29,68.29,68.29,68.29
21,521.27,300,200,0.0,62.35,4,62.35,62.35,62.35,62.35,0.0
22,523.77,300,200,0.0,62.35,4,62.35,62.35,62.35,62.35,0.0
23,362.0,300,200,0.0,51.86,5,51.86,51.86,51.86,51.86,51.86
24,374.73,300,200,0.0,51.86,5,51.86,51.86,51.86,51.86,51.86
25,370.57,300,200,0.0,51.86,5,51.86,51.86,51.86,51.86,51.86
26,365.37,300,200,0.0,51.86,5,51.86,51.86,51.86,51.86,51.86
